"Enrolled CS Majors, Minors and Certs, 2016-2022",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Semester,,,,,,,,,,,,,,
major,MajorName,Degree,F16,Sp17,F17,Sp18,F18,Sp19,F19,Sp20,F20,Sp21,F21,Sp22,F22,Sp23,F23
CMPSCI-BA,Computer Science (BA),BA,147,109,99,75,116,94,127,86,149,130,172,152,219,180,284
CMPSCI-BS,Computer Science (BS),BS,384,345,470,404,527,430,529,466,550,492,573,539,698,604,755
CMPSCI-XX,Second major,BS,1,2,4,4,1,5,8,9,6,3,3,3,7,8,6
IT-BS,Information Technology (BS),BS,297,320,348,367,364,378,378,380,361,347,340,344,329,328,380
IT-XX,Second major,BS,,1,3,2,2,2,2,5,5,5,3,1,1,3,
DBTECH,Database Technology (Cert),GCT,1,,1,,,,1,,,,,,,,
CSCI,Computer Science (Minor),Minor,,,,,,3,10,17,20,26,26,36,27,29,30
CMPSCI-MS,Computer Science (MS),MS,126,124,104,96,71,70,64,76,57,66,73,78,168,164,187
CMPSCI-PHD,Computer Science (PhD),PHD,36,39,40,41,43,39,35,36,31,33,33,29,27,27,27
COMPU-PHD,Computational Sciences (PhD),PHD,,1,5,5,7,7,8,9,10,10,11,11,14,12,12
CMPSCI,Computer Science (Cert),UCT,12,12,11,11,14,14,9,5,3,2,3,1,,4,5
